m1_source,m2_source,dL,z,likelihood,posterior
5.726626981289514973e+00,1.490882690016907430e+00,2.600587076463894505e+02,5.649276589959359440e-02,1.325026783829493054e-05,1.325026783829493054e-05
3.999655893374038484e+00,1.969569556174222136e+00,3.094357411908943050e+02,6.673632440909174623e-02,9.180381959678968594e-06,9.180381959678968594e-06
6.351309178181630877e+00,1.314903591548771233e+00,4.030175199999999904e+02,8.578614369618192681e-02,5.224033750809962667e-06,5.224033750809962667e-06
5.293549293041536430e+00,1.601468725202596088e+00,2.353391220189433568e+02,5.131168367679238979e-02,1.633959163340140960e-05,1.633959163340140960e-05
5.629251585574360561e+00,1.458741811619422180e+00,3.765784300000000258e+02,8.045055502336938280e-02,6.042470760892540619e-06,6.042470760892540619e-06
6.309157565251538813e+00,1.360889043909108809e+00,3.126554199999999923e+02,6.739951100452627741e-02,8.981128578659349488e-06,8.981128578659349488e-06
7.447103882531052932e+00,1.224033823464948600e+00,2.587142999999999802e+02,5.621190788689139906e-02,1.339544333635946826e-05,1.339544333635946826e-05
5.558698315470584461e+00,1.506634541177429787e+00,3.000241943324854788e+02,6.479444974919915112e-02,9.800966468014033397e-06,9.800966468014033397e-06
7.926641492781564935e+00,1.150729209392346686e+00,3.086086164786694326e+02,6.656586197583333475e-02,9.232603119111724817e-06,9.232603119111724817e-06
2.847925551228056129e+00,2.680917319850520730e+00,3.194812600000000202e+02,6.880360643116149866e-02,8.578913247562127084e-06,8.578913247562127084e-06
7.493549345460290390e+00,1.217788834529254682e+00,2.693785599999999931e+02,5.843686807840879627e-02,1.230403383281511100e-05,1.230403383281511100e-05
3.602061827235139013e+00,2.166110859726596782e+00,2.982605300000000170e+02,6.443000811649061965e-02,9.923998512335899260e-06,9.923998512335899260e-06
4.320231585751301395e+00,1.852201341196795470e+00,2.983684400000000210e+02,6.445231203972036360e-02,9.916406642546840867e-06,9.916406642546840867e-06
5.530238952532280372e+00,1.589378779679300413e+00,1.637399299999999869e+02,3.609512159982109641e-02,3.475033730946010545e-05,3.475033730946010545e-05
6.038057129129184908e+00,1.466534909374250795e+00,1.953808999999999969e+02,4.285898018790978287e-02,2.409147716051726504e-05,2.409147716051726504e-05
3.754554524527535353e+00,2.094693091027689746e+00,2.884869499999999789e+02,6.240723738109781038e-02,1.064817279428855380e-05,1.064817279428855380e-05
6.787655690947204334e+00,1.294366046316727470e+00,3.000826888674855581e+02,6.480653413603228163e-02,9.796923904100034229e-06,9.796923904100034229e-06
3.584765248942075822e+00,2.099601547466144247e+00,3.903493199999999774e+02,8.323405588301195646e-02,5.594838299091698418e-06,5.594838299091698418e-06
5.216410386587474690e+00,1.513076070360046321e+00,4.399093111036308414e+02,9.317262350667722404e-02,4.325618832344452992e-06,4.325618832344452992e-06
7.292431059019726547e+00,1.157391114095631002e+00,4.774330400000000054e+02,1.006179194622248141e-01,3.622958061629989746e-06,3.622958061629989746e-06
6.017768692808768805e+00,1.358007109869011408e+00,4.220965899999999920e+02,8.961454564308368731e-02,4.729094390373383499e-06,4.729094390373383499e-06
3.727282466743822908e+00,2.108656770400823888e+00,2.877341299999999933e+02,6.225120723379961446e-02,1.070710389297793139e-05,1.070710389297793139e-05
4.714735535712848424e+00,1.627917586840694320e+00,4.615732600000000048e+02,9.747926703542314497e-02,3.898374635396896999e-06,3.898374635396896999e-06
5.402372300929788373e+00,1.557299631281631846e+00,2.740002562950087963e+02,5.939908298500007344e-02,1.187090492801771592e-05,1.187090492801771592e-05
6.295475057121709739e+00,1.385894494898477713e+00,2.633346885217376325e+02,5.717670064064866997e-02,1.290595815192744951e-05,1.290595815192744951e-05
6.062024394311916531e+00,1.329039547633307006e+00,4.781464300000000094e+02,1.007588168502272369e-01,3.611232046800476028e-06,3.611232046800476028e-06
4.549189199496864511e+00,1.790496702939908369e+00,2.695940990642758948e+02,5.848177021737657050e-02,1.228332740456160283e-05,1.228332740456160283e-05
